"class_id","scientific_name","observation_id","photo_id","photo_license","photo_attribution","observation_url","download_url","width","height","sha256","dhash","relative_path"
"1","Quercus acutissima","248341044","443701405","cc-by","(c) WATANABE Hitoshi 渡辺仁, some rights reserved (CC BY)","https://www.inaturalist.org/observations/248341044","https://inaturalist-open-data.s3.amazonaws.com/photos/443701405/large.jpeg","1024","683","875cf1b0fe50c180f20d9800ff15e8910f96fae928b832cbfdd5e3882300624e","ccec4fce47a63432","test/001_quercus_acutissima/obs_248341044_photo_443701405.jpg"
"1","Quercus acutissima","252633045","452276694","cc-by-nc","(c) mattmahon, some rights reserved (CC BY-NC)","https://www.inaturalist.org/observations/252633045","https://inaturalist-open-data.s3.amazonaws.com/photos/452276694/large.jpeg","768","1024","14d736f94076156718014e14ecda65cc5c33fcd0b39379afb066eebb5ff029e5","d626414f6b473d7c","test/001_quercus_acutissima/obs_252633045_photo_452276694.jpg"
"1","Quercus acutissima","253696332","454304611","cc-by-nc","(c) satokeiji, some rights reserved (CC BY-NC)","https://www.inaturalist.org/observations/253696332","https://inaturalist-open-data.s3.amazonaws.com/photos/454304611/large.jpeg","768","1024","eae9169da1382f35c3f596a20a46eb5b56e19c234f8e1b6f7839c80645c6ff39","9d4e4a486f2b9a8a","test/001_quercus_acutissima/obs_253696332_photo_454304611.jpg"
"1","Quercus acutissima","255881152","458646316","cc-by","(c) harrier, some rights reserved (CC BY)","https://www.inaturalist.org/observations/255881152","https://inaturalist-open-data.s3.amazonaws.com/photos/458646316/large.jpeg","768","1024","e692e128655f97b1d3ca18dbd09934cc1bce654ac90e60bf84e88af8af5cb03a","2da8f3cda9337219","test/001_quercus_acutissima/obs_255881152_photo_458646316.jpg"
"1","Quercus acutissima","258983727","464793372","cc-by-nc","(c) Bill LaBarre, some rights reserved (CC BY-NC)","https://www.inaturalist.org/observations/258983727","https://inaturalist-open-data.s3.amazonaws.com/photos/464793372/large.jpeg","768","1024","1e76d85bc4e417a333d9ca3e3d785b87260ddc89f1a6e6ab6ab1329f8b2b53de","6333121c1de62e1a","test/001_quercus_acutissima/obs_258983727_photo_464793372.jpg"
"1","Quercus acutissima","262858173","472109058","cc-by-nc","(c) shagbarkben, some rights reserved (CC BY-NC)","https://www.inaturalist.org/observations/262858173","https://inaturalist-open-data.s3.amazonaws.com/photos/472109058/large.jpg","768","1024","925527c583c208052c2719bafbc5102bdd15642de5010548a982e717bd5dcc3b","c6e4e3ebeaeaeaf2","test/001_quercus_acutissima/obs_262858173_photo_472109058.jpg"
"1","Quercus acutissima","266562590","478959549","cc-by-nc","(c) Huang Baochen | 黄宝臣, some rights reserved (CC BY-NC)","https://www.inaturalist.org/observations/266562590","https://inaturalist-open-data.s3.amazonaws.com/photos/478959549/large.jpg","1024","683","bb794f06fa7fd9741d94a2225abdf1ba23bb79e63a6ac7eb2d9ece3854502c14","1316157150227161","test/001_quercus_acutissima/obs_266562590_photo_478959549.jpg"
"1","Quercus acutissima","274601982","493608396","cc-by-nc","(c) Vitaly Charny, some rights reserved (CC BY-NC)","https://www.inaturalist.org/observations/274601982","https://inaturalist-open-data.s3.amazonaws.com/photos/493608396/large.jpg","1024","768","e50ac02725a442066ed2b2976f2384e1a1c711f75e3ccde3592219ce4160743b","294dec8c09142c8d","test/001_quercus_acutissima/obs_274601982_photo_493608396.jpg"
"1","Quercus acutissima","278916275","500817772","cc-by-nc","(c) 小铖/Smalltown, some rights reserved (CC BY-NC)","https://www.inaturalist.org/observations/278916275","https://inaturalist-open-data.s3.amazonaws.com/photos/500817772/large.jpeg","1024","768","fea038265f67895a69497c89caebcaaea66298e3f33812c0068e0a6181d53560","a6363c849828ac9c","test/001_quercus_acutissima/obs_278916275_photo_500817772.jpg"
"1","Quercus acutissima","280640886","578895998","cc-by-nc","(c) bettinaivy, some rights reserved (CC BY-NC)","https://www.inaturalist.org/observations/280640886","https://inaturalist-open-data.s3.amazonaws.com/photos/578895998/large.jpg","768","1024","2082b5e3fadf0e5d7c99aec260979acf9f0acba2f39047b17a07d01e02717b8c","f0b0f8d4d3c18000","test/001_quercus_acutissima/obs_280640886_photo_578895998.jpg"
"1","Quercus acutissima","282289467","507160713","cc-by-nc","(c) campbellfmh, some rights reserved (CC BY-NC)","https://www.inaturalist.org/observations/282289467","https://inaturalist-open-data.s3.amazonaws.com/photos/507160713/large.jpg","768","1024","fbfa5442affba9f71bfcd0c092aeaac2cdab4e3ff4c90b8e9e8fa2fdb42b728f","0d4d4cf8795a1238","test/001_quercus_acutissima/obs_282289467_photo_507160713.jpg"
"1","Quercus acutissima","290146009","521925430","cc-by-nc","(c) annhuffstetter, some rights reserved (CC BY-NC)","https://www.inaturalist.org/observations/290146009","https://inaturalist-open-data.s3.amazonaws.com/photos/521925430/large.jpg","768","1024","619849c06a664a9aa9c3d4b67242ee6d080ca3729de20c040efe746761a54992","4956b62c46c8d1f8","test/001_quercus_acutissima/obs_290146009_photo_521925430.jpg"
"1","Quercus acutissima","291476133","524556770","cc-by-nc","(c) rtewmal2, some rights reserved (CC BY-NC)","https://www.inaturalist.org/observations/291476133","https://inaturalist-open-data.s3.amazonaws.com/photos/524556770/large.jpg","768","1024","b15a704735d0f9229bcfdc69b92030e449c8079b646fed4e2bfd6f850e245488","921e5b4a0a1e7e7a","test/001_quercus_acutissima/obs_291476133_photo_524556770.jpg"
"1","Quercus acutissima","292374828","526043948","cc-by-nc","(c) Paul Ha, some rights reserved (CC BY-NC)","https://www.inaturalist.org/observations/292374828","https://inaturalist-open-data.s3.amazonaws.com/photos/526043948/large.jpg","1024","683","23eee757966f462b8647fdccd6014a88354d0f23c058f60b4fec9ae6b1099bc7","c92c460a479bdac3","test/001_quercus_acutissima/obs_292374828_photo_526043948.jpg"
"1","Quercus acutissima","293168536","527643546","cc-by-nc","(c) whitetiger003, some rights reserved (CC BY-NC)","https://www.inaturalist.org/observations/293168536","https://inaturalist-open-data.s3.amazonaws.com/photos/527643546/large.jpg","768","1024","42ade0a922d63f02b7b34fc518c86c73d3ce67e5cccc4a0221e88aef50520d5f","2e1e17372f172721","test/001_quercus_acutissima/obs_293168536_photo_527643546.jpg"
